Date / Time;Event Id;Failure Class;UE Type;Market;Operator;Cell Id;Duration;Cause Code;NE Version;IMSI;HIER3_ID;HIER32_ID;HIER321_ID
2/21/13 21:01;4098;4;33001735;405;1;1;1005;1;13A;191911000456426;5101480358280999900;4462714857032800300;1650127677358040060
2/22/13 19:37;4098;0;33001735;405;1;4;1005;1;13A;191911000420566;4054409192418619900;5899098095989780500;4094364993141140000
2/22/13 19:36;4098;1;33001735;405;1;1;1005;1;13A;191911000312238;6336740668340799500;5351288803115729900;8670925141342369800
2/22/13 21:01;4098;1;33001735;405;1;3;1005;1;13A;191911000154506;5990040447850810400;4173989014826129900;6423140930350090200
2/22/13 21:03;4098;1;33001735;405;1;1;1005;1;13A;191911000423586;3284702848232000000;1031357716651110020;3590136786185150000
2/22/13 21:01;4098;4;33001735;405;1;1;1005;1;13A;191911000456426;5101480358280999900;4462714857032800300;1650127677358040060
2/19/13 19:35;4098;3;33001735;405;1;1;1005;1;13A;191911000336527;4835536039736710100;5787592700442470400;9116554144813360100
2/19/13 19:35;4098;3;33001735;405;1;1;1005;1;13A;191911000336527;4835536039736710100;5787592700442470400;9116554144813360100
2/19/13 20:04;4098;1;33001735;405;1;4;1005;1;13A;191911000464007;1412392866389040130;7643614725618799600;5905862374717519900
2/20/13 19:35;4098;3;33001735;405;1;1;1005;1;13A;191911000336527;4835536039736710100;5787592700442470400;9116554144813360100
2/20/13 19:35;4098;3;33001735;405;1;1;1005;1;13A;191911000336527;4835536039736710100;5787592700442470400;9116554144813360100
2/20/13 20:04;4098;1;33001735;405;1;4;1005;1;13A;191911000464007;1412392866389040130;7643614725618799600;5905862374717519900
2/21/13 17:39;4098;3;33001735;405;1;1;1005;1;13A;191911000336527;4835536039736710100;5787592700442470400;9116554144813360100
2/21/13 19:35;4098;3;33001735;405;1;1;1005;1;13A;191911000336527;4835536039736710100;5787592700442470400;9116554144813360100
2/21/13 20:04;4098;1;33001735;405;1;4;1005;1;13A;191911000464007;1412392866389040130;7643614725618799600;5905862374717519900
2/22/13 17:39;4098;3;33001735;405;1;1;1005;1;13A;191911000336527;4835536039736710100;5787592700442470400;9116554144813360100
2/22/13 19:35;4098;3;33001735;405;1;1;1005;1;13A;191911000336527;4835536039736710100;5787592700442470400;9116554144813360100
2/22/13 20:04;4098;1;33001735;405;1;4;1005;1;13A;191911000464007;1412392866389040130;7643614725618799600;5905862374717519900
2/19/13 19:38;4098;2;33001735;405;1;4;1005;1;13A;191911000261159;8110171749437400100;4878066169482720300;960719042038061060
2/19/13 19:38;4098;0;33001735;405;1;4;1005;1;13A;191911000518136;1741646288069159940;1752080433963190020;4906592458773380100
2/19/13 19:38;4098;1;33001735;405;1;2;1005;1;13A;191911000061496;1391810264051369980;4410481480350179800;536722887375310020
2/19/13 19:38;4098;0;33001735;405;1;4;1005;1;13A;191911000518136;1741646288069159940;1752080433963190020;4906592458773380100
2/19/13 19:38;4098;2;33001735;405;1;4;1005;1;13A;191911000261159;8110171749437400100;4878066169482720300;960719042038061060
2/19/13 20:00;4098;0;33001735;405;1;1;1005;1;13A;191911000347109;6360353094221920300;5117758491869200400;8143860754014109700
2/19/13 21:01;4098;2;33001735;405;1;2;1005;1;13A;191911000437689;5337549188380290000;5546490654156789800;4931866955053780000
2/20/13 19:38;4098;2;33001735;405;1;4;1005;1;13A;191911000261159;8110171749437400100;4878066169482720300;960719042038061060
2/20/13 19:38;4098;0;33001735;405;1;4;1005;1;13A;191911000518136;1741646288069159940;1752080433963190020;4906592458773380100
2/20/13 19:38;4098;1;33001735;405;1;2;1005;1;13A;191911000061496;1391810264051369980;4410481480350179800;536722887375310020
2/20/13 2:04;4098;0;33001735;405;1;4;1005;1;13A;191911000518136;1741646288069159940;1752080433963190020;4906592458773380100
2/20/13 5:46;4098;2;33001735;405;1;4;1005;1;13A;191911000261159;8110171749437400100;4878066169482720300;960719042038061060
2/20/13 17:45;4098;0;33001735;405;1;1;1005;1;13A;191911000347109;6360353094221920300;5117758491869200400;8143860754014109700
2/20/13 21:01;4098;2;33001735;405;1;2;1005;1;13A;191911000437689;5337549188380290000;5546490654156789800;4931866955053780000
2/21/13 19:38;4098;2;33001735;405;1;4;1005;1;13A;191911000261159;8110171749437400100;4878066169482720300;960719042038061060
2/21/13 19:38;4098;0;33001735;405;1;4;1005;1;13A;191911000518136;1741646288069159940;1752080433963190020;4906592458773380100
2/21/13 19:38;4098;1;33001735;405;1;2;1005;1;13A;191911000061496;1391810264051369980;4410481480350179800;536722887375310020
2/21/13 2:04;4098;0;33001735;405;1;4;1005;1;13A;191911000518136;1741646288069159940;1752080433963190020;4906592458773380100
2/21/13 5:46;4098;2;33001735;405;1;4;1005;1;13A;191911000261159;8110171749437400100;4878066169482720300;960719042038061060
2/21/13 17:45;4098;0;33001735;405;1;1;1005;1;13A;191911000347109;6360353094221920300;5117758491869200400;8143860754014109700
2/21/13 21:01;4098;2;33001735;405;1;2;1005;1;13A;191911000437689;5337549188380290000;5546490654156789800;4931866955053780000
2/22/13 19:38;4098;2;33001735;405;1;4;1005;1;13A;191911000261159;8110171749437400100;4878066169482720300;960719042038061060
2/22/13 19:38;4098;0;33001735;405;1;4;1005;1;13A;191911000518136;1741646288069159940;1752080433963190020;4906592458773380100
2/22/13 19:38;4098;1;33001735;405;1;2;1005;1;13A;191911000061496;1391810264051369980;4410481480350179800;536722887375310020
2/22/13 2:04;4098;0;33001735;405;1;4;1005;1;13A;191911000518136;1741646288069159940;1752080433963190020;4906592458773380100
2/22/13 5:46;4098;2;33001735;405;1;4;1005;1;13A;191911000261159;8110171749437400100;4878066169482720300;960719042038061060
2/22/13 17:45;4098;0;33001735;405;1;1;1005;1;13A;191911000347109;6360353094221920300;5117758491869200400;8143860754014109700
2/22/13 21:01;4098;2;33001735;405;1;2;1005;1;13A;191911000437689;5337549188380290000;5546490654156789800;4931866955053780000
2/19/13 19:35;4098;0;33001953;405;1;1;1005;1;13A;191911000211207;1119782510857590020;3625592011059800100;1744424152754150
2/19/13 19:36;4098;2;33001953;405;1;1;1005;1;13A;191911000174943;7184611572385550300;1097558296016880000;8324237875339690000
2/19/13 20:01;4098;4;33001953;405;1;1;1005;1;13A;191911000403087;6470005858617430000;5666110505217840100;1506438060601270020
2/20/13 19:35;4098;0;33001953;405;1;1;1005;1;13A;191911000211207;1119782510857590020;3625592011059800100;1744424152754150
2/20/13 19:36;4098;2;33001953;405;1;1;1005;1;13A;191911000174943;7184611572385550300;1097558296016880000;8324237875339690000
2/20/13 20:01;4098;4;33001953;405;1;1;1005;1;13A;191911000403087;6470005858617430000;5666110505217840100;1506438060601270020
2/21/13 8:24;4098;0;33001953;405;1;1;1005;1;13A;191911000211207;1119782510857590020;3625592011059800100;1744424152754150
2/21/13 19:36;4098;2;33001953;405;1;1;1005;1;13A;191911000174943;7184611572385550300;1097558296016880000;8324237875339690000
2/21/13 20:01;4098;4;33001953;405;1;1;1005;1;13A;191911000403087;6470005858617430000;5666110505217840100;1506438060601270020
2/22/13 8:24;4098;0;33001953;405;1;1;1005;1;13A;191911000211207;1119782510857590020;3625592011059800100;1744424152754150
2/22/13 19:36;4098;2;33001953;405;1;1;1005;1;13A;191911000174943;7184611572385550300;1097558296016880000;8324237875339690000
2/22/13 20:01;4098;4;33001953;405;1;1;1005;1;13A;191911000403087;6470005858617430000;5666110505217840100;1506438060601270020
2/19/13 19:39;4098;2;33001953;405;1;4;1005;1;13A;191911000320168;3251885725562059800;5343394750510829600;660260892707506050
2/19/13 19:36;4098;0;33001953;405;1;4;1005;1;13A;191911000261177;8110171749437400100;4878066169482720300;960719042038061060
2/19/13 19:37;4098;2;33001953;405;1;2;6;1;13A;191911000034206;566073587880600000;3767343211991119900;5564561049136069600
2/19/13 19:36;4098;0;33001953;405;1;4;1005;1;13A;191911000261177;8110171749437400100;4878066169482720300;960719042038061060
